Point ID,H_lower,H_upper,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,b,v1_lower,v1_upper,v2_lower,v2_upper,vtkValidPointMask
854,0.75,1.5,8.54,5,0,9.89604,8.54,0,-0.00000000,-0.00000000,-0.000000000,-0.000000000,1
855,0.75,1.5,8.55,5,0,9.90467,8.55,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
856,0.75,1.5,8.56,5,0,9.9133,8.56,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
857,0.75,1.5,8.57,5,0,9.92194,8.57,0,-0.000000000,-0.000000000,-0.00000000,-0.00000000,1
858,0.75,1.5,8.58,5,0,9.93058,8.58,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
859,0.75,1.5,8.59,5,0,9.93922,8.59,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
860,0.75,1.5,8.6,5,0,9.94786,8.6,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
861,0.75,1.5,8.61,5,0,9.95651,8.61,0,0.000000000,0.000000000,0.000000000,0.000000000,1
862,0.75,1.5,8.62,5,0,9.96516,8.62,0,0.000000000,0.000000000,0.000000000,0.000000000,1
863,0.75,1.5,8.63,5,0,9.97381,8.63,0,0.000000000,0.000000000,0.000000000,0.000000000,1
864,0.75,1.5,8.64,5,0,9.98246,8.64,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
865,0.75,1.5,8.65,5,0,9.99112,8.65,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
866,0.75,1.5,8.66,5,0,9.99978,8.66,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
867,0.75,1.5,8.67,5,0,10.0084,8.67,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
868,0.75,1.5,8.68,5,0,10.0171,8.68,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
869,0.75,1.5,8.69,5,0,10.0258,8.69,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
870,0.75,1.5,8.7,5,0,10.0344,8.7,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
871,0.75,1.5,8.71,5,0,10.0431,8.71,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
872,0.75,1.5,8.72,5,0,10.0518,8.72,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
873,0.75,1.5,8.73,5,0,10.0605,8.73,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
874,0.75,1.5,8.74,5,0,10.0691,8.74,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
875,0.75,1.5,8.75,5,0,10.0778,8.75,0,0.00000000,0.00000000,-0.000000000,-0.000000000,1
876,0.75,1.5,8.76,5,0,10.0865,8.76,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
877,0.75,1.5,8.77,5,0,10.0952,8.77,0,0.00000000,0.00000000,-0.000000000,-0.000000000,1
878,0.75,1.5,8.78,5,0,10.1039,8.78,0,0.0000000,0.0000000,-0.000000000,-0.000000000,1
879,0.75,1.5,8.79,5,0,10.1126,8.79,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
880,0.75,1.5,8.8,5,0,10.1213,8.8,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
881,0.75,1.5,8.81,5,0,10.13,8.81,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
882,0.75,1.5,8.82,5,0,10.1387,8.82,0,-0.00000000,-0.00000000,-0.000000000,-0.000000000,1
883,0.75,1.5,8.83,5,0,10.1474,8.83,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
884,0.75,1.5,8.84,5,0,10.1561,8.84,0,-0.00000000,-0.00000000,-0.00000000,-0.00000000,1
885,0.75,1.5,8.85,5,0,10.1648,8.85,0,0.000000000,0.000000000,-0.0000000,-0.0000000,1
886,0.75,1.5,8.86,5,0,10.1735,8.86,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
887,0.75,1.5,8.87,5,0,10.1822,8.87,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
888,0.75,1.5,8.88,5,0,10.1909,8.88,0,0.000000000,0.000000000,-0.00000000,-0.00000000,1
889,0.75,1.5,8.89,5,0,10.1996,8.89,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
890,0.75,1.5,8.9,5,0,10.2083,8.9,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
891,0.75,1.5,8.91,5,0,10.217,8.91,0,-0.000000000,-0.000000000,-0.00000000,-0.00000000,1
892,0.75,1.5,8.92,5,0,10.2258,8.92,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
893,0.75,1.5,8.93,5,0,10.2345,8.93,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
894,0.75,1.5,8.94,5,0,10.2432,8.94,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
895,0.75,1.5,8.95,5,0,10.252,8.95,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
896,0.75,1.5,8.96,5,0,10.2607,8.96,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
897,0.75,1.5,8.97,5,0,10.2694,8.97,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
898,0.75,1.5,8.98,5,0,10.2782,8.98,0,-0.000000000,-0.000000000,-0.00000000,-0.00000000,1
899,0.75,1.5,8.99,5,0,10.2869,8.99,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
900,0.75,1.5,9,5,0,10.2956,9,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
901,0.75,1.5,9.01,5,0,10.3044,9.01,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
902,0.75,1.5,9.02,5,0,10.3131,9.02,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
903,0.75,1.5,9.03,5,0,10.3219,9.03,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
904,0.75,1.5,9.04,5,0,10.3306,9.04,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
905,0.75,1.5,9.05,5,0,10.3394,9.05,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
906,0.75,1.5,9.06,5,0,10.3481,9.06,0,0.000000000,0.000000000,-0.00000000,-0.00000000,1
907,0.75,1.5,9.07,5,0,10.3569,9.07,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
908,0.75,1.5,9.08,5,0,10.3656,9.08,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
909,0.75,1.5,9.09,5,0,10.3744,9.09,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
910,0.75,1.5,9.1,5,0,10.3832,9.1,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
