Point ID,H_lower,H_upper,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,b,v1_lower,v1_upper,v2_lower,v2_upper,vtkValidPointMask
716,0.75,1.5,7.16,7.16,0,10.1258,10.1258,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
717,0.75,1.5,7.17,7.17,0,10.1399,10.1399,0,0.000000000,0.000000000,0.000000000,0.000000000,1
718,0.75,1.5,7.18,7.18,0,10.1541,10.1541,0,0.000000000,0.000000000,0.000000000,0.000000000,1
719,0.75,1.5,7.19,7.19,0,10.1682,10.1682,0,0.000000000,0.000000000,0.000000000,0.000000000,1
720,0.75,1.5,7.2,7.2,0,10.1823,10.1823,0,0.000000000,0.000000000,0.000000000,0.000000000,1
721,0.75,1.5,7.21,7.21,0,10.1965,10.1965,0,0.000000000,0.000000000,0.000000000,0.000000000,1
722,0.75,1.5,7.22,7.22,0,10.2106,10.2106,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
723,0.75,1.5,7.23,7.23,0,10.2248,10.2248,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
724,0.75,1.5,7.24,7.24,0,10.2389,10.2389,0,0.000000000,0.000000000,-0.00000000,-0.00000000,1
725,0.75,1.5,7.25,7.25,0,10.253,10.253,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
726,0.75,1.5,7.26,7.26,0,10.2672,10.2672,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
727,0.75,1.5,7.27,7.27,0,10.2813,10.2813,0,0.00000000,0.00000000,-0.000000000,-0.000000000,1
728,0.75,1.5,7.28,7.28,0,10.2955,10.2955,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
729,0.75,1.5,7.29,7.29,0,10.3096,10.3096,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
730,0.75,1.5,7.3,7.3,0,10.3238,10.3238,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
731,0.75,1.5,7.31,7.31,0,10.3379,10.3379,0,0.0000000,0.0000000,0.000000000,0.000000000,1
732,0.75,1.5,7.32,7.32,0,10.352,10.352,0,0.000000000,0.000000000,0.000000000,0.000000000,1
733,0.75,1.5,7.33,7.33,0,10.3662,10.3662,0,0.000000000,0.000000000,0.000000000,0.000000000,1
734,0.75,1.5,7.34,7.34,0,10.3803,10.3803,0,0.000000000,0.000000000,0.00000000,0.00000000,1
735,0.75,1.5,7.35,7.35,0,10.3945,10.3945,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
